City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
230,Farafangana,MG,2021-09-15 20:54:30,-22.8167,47.8333,68.9,88,17,9.44
231,Chaman,PK,2021-09-15 20:54:31,30.9236,66.4512,74.05,11,0,2.91
232,Fort-Shevchenko,KZ,2021-09-15 20:54:31,44.5086,50.263,71.83,45,0,3.4
233,Padang,ID,2021-09-15 20:54:32,-0.9492,100.3543,77.61,85,70,3.78
234,Lewistown,US,2021-09-15 20:54:32,40.5992,-77.5714,85.78,88,75,0.0
235,Nelson Bay,AU,2021-09-15 20:54:32,-32.7167,152.15,53.01,98,93,9.71
236,Warmbad,NA,2021-09-15 20:54:33,-28.45,18.7333,53.76,34,0,8.59
237,Gimbi,ET,2021-09-15 20:54:33,9.1667,35.8333,54.61,94,100,1.39
238,Flinders,AU,2021-09-15 20:54:34,-34.5833,150.8552,53.8,78,40,4.0
239,Okhotsk,RU,2021-09-15 20:54:34,59.3833,143.3,52.07,77,3,5.73
240,Caravelas,BR,2021-09-15 20:54:34,-17.7125,-39.2481,74.98,82,0,10.36
241,Geraldton,AU,2021-09-15 20:54:35,-28.7667,114.6,61.21,77,75,17.27
242,Soloneshnoye,RU,2021-09-15 20:54:35,51.6544,84.3197,49.71,73,77,5.23
243,Quesnel,CA,2021-09-15 20:54:35,52.9999,-122.5029,54.1,43,90,3.44
244,Vila,PT,2021-09-15 20:54:36,42.0304,-8.1588,59.88,84,8,3.8
245,Bilibino,RU,2021-09-15 20:54:36,68.0546,166.4372,31.19,97,100,6.82
246,Orizona,BR,2021-09-15 20:54:36,-17.0314,-48.2958,87.76,17,11,4.05
247,Berlevag,NO,2021-09-15 20:54:37,70.8578,29.0864,37.35,87,40,4.61
248,Nanortalik,GL,2021-09-15 20:54:37,60.1432,-45.2371,40.08,77,5,2.46
249,Cheremisinovo,RU,2021-09-15 20:54:37,51.8855,37.2646,46.51,60,0,6.73
250,Novocheremshansk,RU,2021-09-15 20:54:38,54.3571,50.1666,43.41,71,11,5.28
251,Quatre Cocos,MU,2021-09-15 20:54:38,-20.2078,57.7625,69.91,80,12,10.45
252,Rafaela,AR,2021-09-15 20:54:38,-31.2503,-61.4867,71.98,11,0,1.01
253,Hokitika,NZ,2021-09-15 20:54:39,-42.7167,170.9667,49.08,58,45,8.43
254,Naples,IT,2021-09-15 20:54:39,40.8333,14.25,75.81,69,0,1.14
255,Razole,IN,2021-09-15 20:54:39,16.4833,81.8333,79.68,85,100,3.94
256,Torbay,CA,2021-09-15 20:54:40,47.6666,-52.7314,54.28,75,75,11.5
257,Vanimo,PG,2021-09-15 20:54:40,-2.6741,141.3028,77.13,89,91,4.5
258,Tiksi,RU,2021-09-15 20:54:40,71.6872,128.8694,38.75,93,100,4.41
259,Bathsheba,BB,2021-09-15 20:54:41,13.2167,-59.5167,83.01,89,40,5.75
260,Gagatli,RU,2021-09-15 20:54:41,42.8013,46.2916,52.29,82,0,1.92
261,Hovd,MN,2021-09-15 20:54:41,48.0056,91.6419,53.44,22,95,6.2
262,Port Keats,AU,2021-09-15 20:54:42,-14.25,129.55,77.41,86,26,4.45
263,Lagoa,PT,2021-09-15 20:54:42,39.05,-27.9833,70.43,69,2,2.89
264,Sakakah,SA,2021-09-15 20:54:43,29.9697,40.2064,87.37,23,42,8.95
265,Codrington,AU,2021-09-15 20:54:43,-38.2667,141.9667,39.74,94,25,7.58
266,Port-Gentil,GA,2021-09-15 20:54:44,-0.7193,8.7815,78.76,83,75,9.22
267,Olinda,BR,2021-09-15 20:54:44,-8.0089,-34.8553,76.73,73,20,14.97
268,Yerkoy,TR,2021-09-15 20:54:44,39.6381,34.4672,61.84,78,100,0.65
269,Kolokani,ML,2021-09-15 20:54:45,13.5728,-8.0339,79.45,71,99,1.97
270,Niigata,JP,2021-09-15 20:54:45,37.9022,139.0236,63.57,81,5,5.37
271,Honningsvag,NO,2021-09-15 20:54:45,70.9821,25.9704,35.13,69,52,9.51
272,Comodoro Rivadavia,AR,2021-09-15 20:54:46,-45.8667,-67.5,67.86,22,0,23.02
273,Kodiak,US,2021-09-15 20:54:32,57.79,-152.4072,47.5,88,100,11.97
274,Muriwai Beach,NZ,2021-09-15 20:54:46,-36.8167,174.45,60.35,97,100,11.86
275,Isangel,VU,2021-09-15 20:54:47,-19.55,169.2667,71.71,94,100,4.61
276,Huarmey,PE,2021-09-15 20:54:47,-10.0681,-78.1522,66.76,72,42,12.97
277,Liangxiang,CN,2021-09-15 20:54:47,39.7319,116.14,67.91,87,100,2.62
278,Sibu,MY,2021-09-15 20:54:48,2.3,111.8167,73.71,94,40,4.61
279,Cherskiy,RU,2021-09-15 20:54:48,68.75,161.3,30.63,72,84,19.26
280,Abashiri,JP,2021-09-15 20:54:48,44.0213,144.2697,47.41,83,0,6.42
281,Saurimo,AO,2021-09-15 20:54:49,-9.6608,20.3916,74.37,50,57,4.21
282,San Patricio,US,2021-09-15 20:54:49,28.017,-97.5169,89.58,63,98,7.36
283,Nalut,LY,2021-09-15 20:54:50,30.3333,10.85,81.63,21,0,9.15
284,Carnarvon,AU,2021-09-15 20:54:50,-24.8667,113.6333,66.27,77,0,9.22
285,Puerto Del Rosario,ES,2021-09-15 20:54:50,28.5004,-13.8627,76.75,65,20,11.5
286,Hofn,IS,2021-09-15 20:54:51,64.2539,-15.2082,52.2,97,94,11.52
287,Dicabisagan,PH,2021-09-15 20:54:51,17.0818,122.4157,77.31,85,66,2.57
288,Sobolevo,RU,2021-09-15 20:54:51,54.4299,31.8996,40.95,73,3,6.53
289,Sibolga,ID,2021-09-15 20:54:52,1.7427,98.7792,76.55,81,100,2.68
290,Palana,RU,2021-09-15 20:54:52,59.1167,159.9667,41.14,65,60,7.09
291,Tiruvallur,IN,2021-09-15 20:54:52,13.15,79.9167,85.64,78,100,5.39
292,Karpathos,GR,2021-09-15 20:54:53,35.507,27.2132,75.16,64,0,23.02
293,Kings Park,US,2021-09-15 20:51:23,40.8862,-73.2573,86.79,81,75,3.0
294,Bambous Virieux,MU,2021-09-15 20:54:53,-20.3428,57.7575,70.05,88,75,10.36
