City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
497,Sugod,PH,84.06,scattered clouds,12.987,124.0805,Musngi Garage
499,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
504,Riyadh,SA,78.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
509,Port Blair,IN,81.5,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
512,Dakoro,NE,85.69,overcast clouds,14.5106,6.765,Shagon mai liverpool
516,Totness,SR,80.28,broken clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
519,Bonthe,SL,77.25,moderate rain,7.5264,-12.505,Bonthe Holiday Village
523,Malakwal,PK,76.44,clear sky,32.5536,73.2123,Green Town
525,Garowe,SO,75.85,overcast clouds,8.4054,48.4845,Curubo Hotel
527,Barra,BR,81.28,broken clouds,-11.0894,-43.1417,Motel Albatroz
528,Ishigaki,JP,84.15,clear sky,24.3448,124.1572,Hotel Peace Land Ishigakijima
536,Solana Beach,US,87.87,clear sky,32.9912,-117.2711,Hilton San Diego/Del Mar
537,Oriximina,BR,82.35,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
540,Palembang,ID,77.09,few clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
543,Biltine,TD,84.67,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
547,Fare,PF,78.3,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
550,Cairns,AU,83.1,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
552,Maceio,BR,81.84,scattered clouds,-9.6658,-35.7353,Poutur Pousada
554,Oussouye,SN,79.32,overcast clouds,12.485,-16.5469,Auberge du Routard
558,Houston,US,77.09,few clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
562,Hays,US,78.85,overcast clouds,30.0502,-98.0336,Sinya on Lone Man Creek
577,Tezu,IN,79.0,broken clouds,27.9167,96.1667,Circuit House
581,Honiara,SB,83.1,broken clouds,-9.4333,159.95,Heritage Park Hotel
588,Namatanai,PG,84.6,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
589,Flinders,AU,79.05,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
590,Tabuk,PH,81.75,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
591,Meulaboh,ID,79.47,scattered clouds,4.1363,96.1285,Kost Pria
592,Hengyang,CN,87.39,clear sky,26.8881,112.615,Honglin Guesthouse
593,Singaparna,ID,76.44,overcast clouds,-7.3515,108.111,Wisma Dewi Hotel
597,Dwarka,IN,80.24,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
601,Abeche,TD,80.47,clear sky,13.8292,20.8324,Assaleh Hamdan Haroune
606,Axim,GH,76.12,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
607,Stillwater,US,78.33,clear sky,36.1156,-97.0584,Hampton Inn & Suites Stillwater
610,Iranshahr,IR,83.73,clear sky,27.2025,60.6848,نیک سرشت
611,Banjarmasin,ID,77.14,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
619,Portland,US,75.61,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
620,Stephenville,US,75.29,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
631,Yarada,IN,81.28,light rain,17.65,83.2667,Jeevan
632,Gwadar,PK,78.67,overcast clouds,25.1216,62.3254,Sadaf Resort
634,Port Moresby,PG,82.45,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
636,Bhanvad,IN,79.21,overcast clouds,21.9264,69.7736,Mahalaxmi farshan
640,Lengshuijiang,CN,84.45,clear sky,27.6881,111.4294,Sheraton
641,Umm Lajj,SA,82.18,clear sky,25.0213,37.2685,Moon light Furnished Units
646,Ballina,AU,78.98,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
647,Praya,CV,78.39,overcast clouds,14.9215,-23.5087,LT Aparthotel
648,Tabanan,ID,79.2,overcast clouds,-8.5413,115.1252,Casa Artista Hotel Bali
654,Fomboni,KM,76.44,clear sky,-12.28,43.7425,Auberge les abou
655,Mango,US,82.85,overcast clouds,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
656,Upata,VE,79.2,broken clouds,8.0086,-62.3989,Posada Villa Nela
660,La Paz Centro,NI,77.59,overcast clouds,12.34,-86.6753,Quinta Momotombo
661,Cockburn Town,TC,83.34,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
663,Suba,PH,83.82,overcast clouds,10.8438,121.0102,Casita Bed and Grill
671,Winnemucca,US,75.25,clear sky,40.973,-117.7357,Winners Inn Casino
672,Brebes,ID,81.66,overcast clouds,-6.8706,109.0369,HOTEL GRAND DIAN BREBES
674,Progreso,MX,82.11,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
678,Papara,BR,79.2,scattered clouds,-3.9839,-38.7273,Romin
680,Bandhi,PK,82.27,broken clouds,26.5861,68.3006,"A,M Malik sweet š Bakers"
683,Madang,PG,82.31,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
684,Cozumel,MX,82.99,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
685,Safaga,EG,84.02,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
